Criteria,,,,,,,,,,,,,,
Platform,Millipore ,,,,,,,,,,,,,
Species,Mouse,,,,,,,,,,,,,
Panel,Panel I,,,,,,,,,,,,,
Panel Description,Cytokine/Chemokine,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Values,,,,,,,,,,,,,,
Reagent Description,Concentration,Diluent,Volume/well (ml),,,,,,,,,,,
Beads,variable,L-AB,0.025,,,,,,,,,,,
Antibodies ,variable,L-AB,0.025,,,,,,,,,,,
SAPE,1,n/a,0.025,,,,,,,,,,,
SAPE Name,SAPE-20,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Category,,,,,,,,,,,,,,
,,,,Premix,,,,,,,,,,
,,,,Premix Name,Premix Panel I 33-plex,JAMmate A 6-plex,JAMmate B 6-plex,JAMmate C 6-plex,JAMmate D 6-plex,JAMmate E 5-plex,JAMmate F 4-plex,JAMmate G 6-plex,JAMmate H 5-plex,JAMmate I 6-plex
Single Analytes,,,,Premix Concentration,1,20,20,20,20,20,20,20,20,20
Analyte,Bead Region,Concentration,,Count,Analyte,Analyte,Analyte,Analyte,Analyte,Analyte,Analyte,Analyte,Analyte,Analyte
BAFF,81,20,,1,IL-1beta,IL-1beta,IP-10/CXCL10,G-CSF,Eotaxin (CCL11),IFN-alpha,Granzyme B,GDF-15,BAFF,IL-3
Eotaxin (CCL11),14,20,,2,IL-2,IL-2,MCP-1/CCL2,GM-CSF,IL-4,IFN-beta,sFasL,MCP-2,Exodus-2/CCL21/6Ckine,IL-12 (p40)
Exodus-2/CCL21/6Ckine,55,20,,3,IL-6,IL-6,MIG/CXCL9,MIP-2/CXCL2,IL-5,IL-12p70,sFas/TNFRSF6,MCP-3,IL-7,LIF
G-CSF,13,20,,4,IL-10,IL-10,MIP-1alpha/CCL3,KC/GRO/CINC-1/CXCL1,IL-9,IL-15,sCD137/4-1BB/TNFRSF9,MIP-3alpha/CCL20,MIP-3beta/CCL19,LIX (CXCL5)
GDF-15,82,20,,5,IFN-gamma,IFN-gamma,MIP-1beta/CCL4,IL-17A/CTLA8,IL-13,IL-18,,MDC/CCL22,IL-1alpha,M-CSF
GM-CSF,15,20,,6,TNF-alpha,TNF-alpha,RANTES/CCL5,IL-17F,iL-33,,,TARC/CCL17,,VEGF
Granzyme B,46,20,,7,IP-10/CXCL10,,,,,,,,,
IFN-alpha,39,20,,8,MCP-1/CCL2,,,,,,,,,
IFN-beta,27,20,,9,MIG/CXCL9,,,,,,,,,
IFN-gamma,19,20,,10,MIP-1alpha/CCL3,,,,,,,,,
IL-1alpha,21,20,,11,MIP-1beta/CCL4,,,,,,,,,
IL-1beta,25,20,,12,RANTES/CCL5,,,,,,,,,
IL-2,26,20,,13,G-CSF,,,,,,,,,
IL-3,29,20,,14,GM-CSF,,,,,,,,,
IL-4,28,20,,15,MIP-2/CXCL2,,,,,,,,,
IL-5,30,20,,16,KC/GRO/CINC-1/CXCL1,,,,,,,,,
IL-6,34,20,,17,IL-17A/CTLA8,,,,,,,,,
IL-7,36,20,,18,IL-17F,,,,,,,,,
IL-9,38,20,,19,Eotaxin (CCL11),,,,,,,,,
IL-10,43,20,,20,IL-4,,,,,,,,,
IL-12 (p40),45,20,,21,IL-5,,,,,,,,,
IL-12p70,47,20,,22,IL-9,,,,,,,,,
IL-13,52,20,,23,IL-13,,,,,,,,,
IL-15,54,20,,24,iL-33,,,,,,,,,
IL-17A/CTLA8,56,20,,25,IFN-alpha,,,,,,,,,
IL-17F,22,20,,26,IFN-beta,,,,,,,,,
IL-18,33,20,,27,IL-12p70,,,,,,,,,
IL-33,18,20,,28,IL-15,,,,,,,,,
IP-10/CXCL10,57,20,,29,IL-18,,,,,,,,,
KC/GRO/CINC-1/CXCL1,61,20,,30,Granzyme B,,,,,,,,,
LIF,51,20,,31,sFasL,,,,,,,,,
LIX (CXCL5),53,20,,32,sFas/TNFRSF6,,,,,,,,,
MCP-1/CCL2,62,20,,33,sCD137/4-1BB/TNFRSF9,,,,,,,,,
MCP-2,85,20,,,,,,,,,,,,
MCP-3,86,20,,,,,,,,,,,,
MDC/CCL22,65,20,,,,,,,,,,,,
M-CSF,67,20,,,,,,,,,,,,
MIG/CXCL9,74,20,,,,,,,,,,,,
MIP-1alpha/CCL3,64,20,,,,,,,,,,,,
MIP-1beta/CCL4,66,20,,,,,,,,,,,,
MIP-2/CXCL2,73,20,,,,,,,,,,,,
MIP-3alpha/CCL20,44,20,,,,,,,,,,,,
MIP-3beta/CCL19,63,20,,,,,,,,,,,,
RANTES/CCL5,75,20,,,,,,,,,,,,
sCD137/4-1BB/TNFRSF9,68,20,,,,,,,,,,,,
sFas/TNFRSF6,58,20,,,,,,,,,,,,
sFasL,9,20,,,,,,,,,,,,
TARC/CCL17,48,20,,,,,,,,,,,,
TNF-alpha,77,20,,,,,,,,,,,,
VEGF,76,20,,,,,,,,,,,,
